,Data Source,Import/Export,Date,HS Code,Product Description,Purchaser,Supplier,Weight,Quantity,Amount,Destination,Origin,Product,Month/Year
17,All of Vietnam,Export,2024-05-29,8045022.0,"Xoài sấy dẻo (Soft dried Mango). Đóng 30gr/túi, 10 túi/ hộp case box, 20 hộp/thùng carton. Hàng mới 100%#&VN",Soul Fruit Ltd,Công Ty Cp Nafoods Group,,6400.0,56.9,Vietnam,Vietnam,Xoài sấy,2024-05
18,All of Vietnam,Export,2024-05-25,8045022.0,Xoài sấy dẻo (DRIED MANGO) đóng 4 x 5kg/túi/carton. Hàng mới 100%#&VN,Uab Greita Upe,Công ty TNHH Sunrise Ins,,1000.0,135.8,Vietnam,Vietnam,Xoài sấy,2024-05
19,All of Vietnam,Export,2024-05-28,20089990.0,XSTU500S#&Xoài sấy dẻo - Dried Mango (500g/bag) (25 gói/thùng); Hàng mới 100%#&VN,Li Cheng Limited,CTCP Công Nghệ Thực Phẩm Lương Gia,,803.0,1520.7,Hong Kong,Vietnam,Xoài sấy,2024-05
20,All of Vietnam,Export,2024-05-25,8045022.0,Xoài sấy dẻo (DRIED MANGO) đóng 40 x 500gram/jar/carton. Hàng mới 100%#&VN,Uab Greita Upe,Công ty TNHH Sunrise Ins,,1000.0,145.9,Vietnam,Vietnam,Xoài sấy,2024-05
21,All of Vietnam,Export,2024-05-25,8045022.0,Xoài sấy dẻo (DRIED MANGO) đóng 40 x 500gram/túi zip/carton. Hàng mới 100%#&VN,Uab Greita Upe,Công ty TNHH Sunrise Ins,,800.0,112.7,Vietnam,Vietnam,Xoài sấy,2024-05
22,All of Vietnam,Export,2024-05-13,8045022.0,Xoài sấy dẻo - Soft-dried mango. Quy cách đóng gói: 5kg/bag. Hàng mới 100%#&VN,Gastronom 1 S.R.O.,Công ty TNHH Xuất Nhập Khẩu Tổng Hợp Nam Phú,,400.0,79.6,Vietnam,Vietnam,Xoài sấy,2024-05
23,All of Vietnam,Export,2024-05-13,8045022.0,Xoài sấy dẻo - Soft-dried mango. Quy cách đóng gói: 100g/bag. Hàng mới 100%#&VN,Gastronom 1 S.R.O.,Công ty TNHH Xuất Nhập Khẩu Tổng Hợp Nam Phú,,500.0,137.5,Vietnam,Vietnam,Xoài sấy,2024-05
24,All of Vietnam,Export,2024-05-09,8045022.0,"Xoài sấy dẻo - DRIED MANGO (140G x 20BAGS/CARTON) 2.8kg/thùng, không nhãn hiệu, hàng mới 100%#&VN","Anmin Co., Ltd.",Cty Tnhh Mtv Viễn Hồng,,50.0,36.7,Taiwan,Vietnam,Xoài sấy,2024-05
25,All of Vietnam,Export,2024-05-07,8045022.0,"Xoài sấy dẻo - Soft dried mango, quy cách: 500g/gói, hàng mới 100%#&VN",Fiolina Llc,Công ty TNHH MTV Thương Mại Và Dịch Vụ Quốc Tế Thuận Vũ,,18000.0,1351.8,Russia,Vietnam,Xoài sấy,2024-05
26,All of Vietnam,Export,2024-05-25,20079990.0,"""DRIED MANGO (300GR/BAG) - XOÀI SẤY , MANUFACTURED BY: AN VY FOOD, HÀNG TẶNG MỚI 100%""#&VN",Betty Ho,Công ty TNHH Vận Chuyển Và Giao Nhận Tam Nhật Long,,2.0,0.1,United States of America,Vietnam,Xoài sấy,2024-05
27,All of Vietnam,Export,2024-05-07,8045022.0,"Xoài sấy dẻo - Soft dried mango, quy cách: 150g/gói, hàng mới 100%#&VN",Fiolina Llc,Công ty TNHH MTV Thương Mại Và Dịch Vụ Quốc Tế Thuận Vũ,,17500.0,420.0,Russia,Vietnam,Xoài sấy,2024-05
28,All of Vietnam,Export,2024-05-04,8045022.0,"Xoài sấy dẻo - Soft-dried mango, quy cách đóng gói: 100G/Bag, hàng mới 100%#&VN",Gastronom 1 S.R.O.,Công ty TNHH Xuất Nhập Khẩu Tổng Hợp Nam Phú,,50.0,13.8,Vietnam,Vietnam,Xoài sấy,2024-05
29,All of Vietnam,Export,2024-05-04,8045022.0,"Xoài sấy dẻo - Soft dried mango, quy cách đóng gói: 5Kg/Bag, hàng mới 100%#&VN",Gastronom 1 S.R.O.,Công ty TNHH Xuất Nhập Khẩu Tổng Hợp Nam Phú,,40.0,8.1,Vietnam,Vietnam,Xoài sấy,2024-05
30,All of Vietnam,Export,2024-05-25,20089990.0,"Xoài sấy dẻo (SOFT DRIED MANGO) 200gram/túi, 50 túi/carton, hàng mới 100%#&VN","Thuan Huong Ltd. Liability Co.,",Công ty TNHH Thương Mại Sản Xuất Thuận Hương,,20.0,23.9,United States of America,Vietnam,Xoài sấy,2024-05
31,All of Vietnam,Export,2024-05-25,20089990.0,"Xoài sấy dẻo, nhãn hiệu- DRIED MANGO 500GR- Packing: 500Gr/Bag, 20 Bags/Carton.Hàng mới 100%#&VN",Uab Atlantic Way,Công ty TNHH MTV Tam Ngọc,,24000.0,3018.2,Lithuania,Vietnam,Xoài sấy,2024-05
32,All of Vietnam,Export,2024-05-24,20060000.0,"""DRIED MANGO: XOÀI SẤY MUỐI ỚT (500/BOX) MANUFACTURER: HONG LAM FACILITY -HÀNG QUÀ TẶNG, MỚI 100% ""#&VN",Duc Nguyen,Cá Nhân - Tổ Chức Không Có Mã Số Thuế,,2.0,0.1,Vietnam,Vietnam,Xoài sấy,2024-05
33,All of Vietnam,Export,2024-05-24,20060000.0,"""SOFT DRIED MANGO - XOÀI SẤY MUỐI ỚT 500G/BAG MANUFACTURER: TRI DUC SERVICE - TRADING - PRODUCTION CO.,LTD -HÀNG QUÀ TẶNG, MỚI 100% ""#&VN",Hai Huynh,Cá Nhân - Tổ Chức Không Có Mã Số Thuế,,1.0,0.1,Vietnam,Vietnam,Xoài sấy,2024-05
34,All of Vietnam,Export,2024-05-24,20060000.0,"""SOFT DRIED MANGO - XOÀI SẤY MUỐI ỚT 500G/BOX MANUFACTURER: TRI DUC SERVICE - TRADING - PRODUCTION CO.,LTD -HÀNG QUÀ TẶNG, MỚI 100% ""#&VN",Hai Huynh,Cá Nhân - Tổ Chức Không Có Mã Số Thuế,,2.0,0.1,Vietnam,Vietnam,Xoài sấy,2024-05
35,All of Vietnam,Export,2024-05-24,8109099.0,"""DRIED MANGO: XOÀI SẤY DẺO, 1KGS/BAG , MNF: NAM XANH JSC, HÀNG TẶNG MỚI 100%""#&VN",Duc Hoa Tong,Cá Nhân - Tổ Chức Không Có Mã Số Thuế,,4.0,0.4,Vietnam,Vietnam,Xoài sấy,2024-05
36,All of Vietnam,Export,2024-05-23,20060000.0,"Xoài sấy dẻo, nhãn hiệu- DRIED MANGO 400GR,quy cách đóng gói NW: 18.00 kgs/thùng GW:22.20 kgs/thùng,Tổng cộng 150 carton, NSX Công Ty TNHH Ba Sương Thống Nhất#&VN","Dongguan Huayun Supply Chain Management Co.,Ltd",Công ty TNHH Ba Sương Thống Nhất,,2700.0,452.3,China,Vietnam,Xoài sấy,2024-05
37,All of Vietnam,Export,2024-05-23,20089990.0,XSVN500S#&Xoài sấy dẻo - Dried Mango (500g/bag) (20 gói/thùng); Hàng mới 100%#&VN,Ip Ibraev Zh,CTCP Công Nghệ Thực Phẩm Lương Gia,,32920.0,2608.2,Kazakhstan,Vietnam,Xoài sấy,2024-05
38,All of Vietnam,Export,2024-05-03,8045022.0,Xoài sấy dẻo (SOFT DRIED MANGO) đóng 5kg x 4 gói/carton. Hàng mới 100%#&VN,Calbuco S.R.O.,Công ty TNHH Sunrise Ins,,1540.0,207.8,Vietnam,Vietnam,Xoài sấy,2024-05
39,All of Vietnam,Export,2024-04-19,8045022.0,Xoài sấy dẻo (SOFT DRIED MANGO) đóng 5kg x 4 gói/carton. Hàng mới 100%#&VN,Calbuco S.R.O.,Công ty TNHH Sunrise Ins,,26.5,3527.5,Czechia,Vietnam,Xoài sấy,2024-04
40,All of Vietnam,Export,2024-05-23,20089990.0,"Xoài sấy dẻo - Dehydrated Dried Mango Slices 70 gr - sugar content: 75-85%. Quy cách: 70gr/Gói, 50 gói/ 1 thùng. NSX: 06/05/2024& 10/05/2024 HSD: 06/05/2027& 10/05/2027. Hàng mới 100%#&VN",Delpasso Llc,Công ty TNHH Thương Mại Trung Minh Thành,,3528.0,1975.3,Russia,Vietnam,Xoài sấy,2024-05
41,All of Vietnam,Export,2024-04-11,8045022.0,"Xoài sấy dẻo - Mangoes dried, đóng gói 5kg/thùng. Hàng mới 100%#&VN",Llc (Renaissance Traiding House),Công ty TNHH V.Kaus,,27000.0,3026.6,Russia,Vietnam,Xoài sấy,2024-04
42,All of Vietnam,Export,2024-05-22,8045022.0,"Xoài sấy dẻo (SOFT DRIED MANGO) 4 x 5 kg/bao PE/Carton, Hàng do Việt Nam Sản Xuất. Hàng mới 100%#&VN",Calbuco S.R.O.,Công ty TNHH Sunrise Ins,,8.0,1921.6,Czechia,Vietnam,Xoài sấy,2024-05
43,All of Vietnam,Export,2024-04-11,8045022.0,Xoài sấy dẻo (DRIED MANGO) đóng 150gram/túi Zip x 50/carton. Hàng mới 100%#&VN,Aidigo Ooo,Công ty TNHH Sunrise Ins,,13005.0,1987.6,Russia,Vietnam,Xoài sấy,2024-04
44,All of Vietnam,Export,2024-04-10,8045022.0,"Xoài sấy dẻo - Mangoes dried, đóng gói 5kg/thùng. Hàng mới 100%#&VN",Llc Renaissance Traiding House,Công ty TNHH V.Kaus,,27000.0,3026.6,Russia,Vietnam,Xoài sấy,2024-04
45,All of Vietnam,Export,2024-04-10,8045022.0,"Xoài sấy dẻo - Mangoes dried, đóng gói 5kg/thùng. Hàng mới 100%#&VN",Llc (Renaissance Traiding House),Công ty TNHH V.Kaus,,27000.0,3026.6,Russia,Vietnam,Xoài sấy,2024-04
46,All of Vietnam,Export,2024-04-09,8045022.0,DRIED MANGO - Xoài Sấy khô - 20kg/thùng. XUẤT XỨ 100% VIỆT NAM#&VN,Inside The Pantry Ltd,Công ty TNHH Wahapy,,3000.0,507.4,United Kingdom,Vietnam,Xoài sấy,2024-04
47,All of Vietnam,Export,2024-05-21,20060000.0,"Xoài sấy dẻo thái lát- Dried Mango (Candied Fruit) đã đóng gói, 200g/bag/50 bag/10kgs/ thùng. NSX: 18/05/2024 ,HSD: 17/05/2025, NSX: Công ty CP Phú Qúy Gia Việt Nam. (hàng F.O.C), Hàng mới 100%#&VN",Shd Planning,CTCP Phú Quý Gia Việt Nam,,70.0,14.4,South Korea,Vietnam,Xoài sấy,2024-05
48,All of Vietnam,Export,2024-05-21,20060000.0,"Xoài sấy dẻo thái lát- Dried Mango (Candied Fruit) đã đóng gói, 200g/bag/50 bag/10kgs/ thùng. NSX: 18/05/2024 ,HSD: 17/05/2025, NSX: Công ty CP Phú Qúy Gia Việt Nam. Hàng mới 100%#&VN",Shd Planning,CTCP Phú Quý Gia Việt Nam,,300.0,61.6,South Korea,Vietnam,Xoài sấy,2024-05
49,All of Vietnam,Export,2024-04-08,8045022.0,"Xoài sấy dẻo - DRIED MANGO (140G x 20BAGS/CARTON) 2.8kg/thùng, không nhãn hiệu, hàng mới 100%#&VN","Anmin Co., Ltd.",Cty Tnhh Mtv Viễn Hồng,,40.0,27.5,Hong Kong,Vietnam,Xoài sấy,2024-04
50,All of Vietnam,Export,2024-05-20,20079990.0,"DRIED MANGO (INCLUDES 1 BAG 1000G - XOÀI SẤY DẺO), HÀNG TẶNG MỚI 100%#&VN",Hung Le,Công ty TNHH Thương Mại-Dịch Vụ Long Hưng Phát,,1.0,0.1,United States of America,Vietnam,Xoài sấy,2024-05
51,All of Vietnam,Export,2024-05-20,20079990.0,"""DRIED MANGO - XOÀI SẤY DẺO (1KG/BAG) NSX: 01/01/2024 - HSD: 01/01/2025, MFG: TIN PHONG MANUFACTURE FACTORY, HÀNG TẶNG MỚI 100%""#&VN",Huyen Nguyen,Cá Nhân - Tổ Chức Không Có Mã Số Thuế,,3.0,0.3,United States of America,Vietnam,Xoài sấy,2024-05
52,All of Vietnam,Export,2024-03-28,8045022.0,"Xoài sấy dẻo - Soft dried mango, quy cách: 1000g/gói, hàng mới 100%#&VN",Fiolina Llc,Công ty TNHH MTV Thương Mại Và Dịch Vụ Quốc Tế Thuận Vũ,,6500.0,960.7,Russia,Vietnam,Xoài sấy,2024-03
53,All of Vietnam,Export,2024-05-20,19059090.0,"""SOFT DRIED MANGO - XOÀI SẤY KHÔ (400G/BAG) MANUFACTURED BY: POMELO CORPRORATION -HÀNG QUÀ TẶNG, MỚI 100% ""#&VN",Thuong Bien,Công ty TNHH Vận Chuyển Và Giao Nhận Tam Nhật Long,,1.0,0.0,United States of America,Vietnam,Xoài sấy,2024-05
54,All of Vietnam,Export,2024-05-20,20089990.0,XD80S#&Xoài sấy dẻo - Dried Mango (80g); Hàng mới 100%#&VN,"Dole Korea, Ltd.",CTCP Công Nghệ Thực Phẩm Lương Gia,,840.0,419.8,South Korea,Vietnam,Xoài sấy,2024-05
55,All of Vietnam,Export,2024-03-28,8045022.0,"Xoài sấy dẻo - Soft dried mango, quy cách: 500g/gói, hàng mới 100%#&VN",Fiolina Llc,Công ty TNHH MTV Thương Mại Và Dịch Vụ Quốc Tế Thuận Vũ,,8000.0,600.8,Russia,Vietnam,Xoài sấy,2024-03
56,All of Vietnam,Export,2024-05-18,20060000.0,"Xoài sấy dẻo, nhãn hiệu- DRIED MANGO 100GR - Packing: 100Gr/Bag, 160 Bags/Carton, 16kg/Carton.Hàng mới 100%#&VN",Kb Of Best,Công ty TNHH MTV Tam Ngọc,,10000.0,1435.1,South Korea,Vietnam,Xoài sấy,2024-05
57,All of Vietnam,Export,2024-05-17,20089990.0,"Xoài sấy - Dried Mango (500gram X 20 túi), nhãn hiệu BIEN HOA FOODS, hàng mới 100%#&VN",Ms Kim Anh,CTCP Phú Thành Hưng,,20.0,0.8,United States of America,Vietnam,Xoài sấy,2024-05
58,All of Vietnam,Export,2024-03-28,8045022.0,"Xoài sấy dẻo - Soft dried mango, quy cách: 150g/gói, hàng mới 100%#&VN",Fiolina Llc,Công ty TNHH MTV Thương Mại Và Dịch Vụ Quốc Tế Thuận Vũ,,10000.0,240.0,Russia,Vietnam,Xoài sấy,2024-03
59,All of Vietnam,Export,2024-03-28,8045022.0,"Xoài sấy dẻo - Soft-dried mango, quy cách đóng gói: 100G/Bag, hàng mới 100%#&VN",Gastronom 1 S.R.O.,Công ty TNHH Xuất Nhập Khẩu Tổng Hợp Nam Phú,,50.0,12.3,Vietnam,Vietnam,Xoài sấy,2024-03
60,All of Vietnam,Export,2024-03-28,8045022.0,"Xoài sấy dẻo - Soft dried mango, quy cách đóng gói: 5Kg/Bag, hàng mới 100%#&VN",Gastronom 1 S.R.O.,Công ty TNHH Xuất Nhập Khẩu Tổng Hợp Nam Phú,,40.0,7.9,Vietnam,Vietnam,Xoài sấy,2024-03
61,All of Vietnam,Export,2024-05-17,20060000.0,"Xoài sấy dẻo thái lát- Dried Mango (Candied Fruit) đã đóng gói, 500g/bag/20 bag/10kgs/ thùng. NSX: 04/2024 ,HSD: 04/2025, NSX: Công ty CP Phú Qúy Gia Việt Nam. Hàng mới 100%#&VN","Qabqal County The Green Garden Co., Ltd",CTCP Phú Quý Gia Việt Nam,,25700.0,2685.4,China,Vietnam,Xoài sấy,2024-05
62,All of Vietnam,Export,2024-05-17,8045022.0,"""SOFT DRIED MANGO - XOÀI SẤY DẺO- MANUFACTURER: POMELO JOINT STOCK COMPANY ,5KG/BAG ,HÀNG QUÀ TẶNG- MỚI 100%""#&VN",Vinh Hung,Cá Nhân - Tổ Chức Không Có Mã Số Thuế,,1.0,0.2,Vietnam,Vietnam,Xoài sấy,2024-05
